Index,Variant,Area,Notes,Area_code,Period,g15_19,g20_24,g25_29,g30_34,g35_39,g40_44,g45_49
653,Estimates,Benin,c,204,1970-1975,69,173,180,143,90,52,15
654,Estimates,Benin,c,204,1975-1980,88,197,195,162,107,58,16
655,Estimates,Benin,c,204,1980-1985,116,236,219,172,120,64,17
656,Estimates,Benin,c,204,1985-1990,151,283,255,190,125,65,18
657,Estimates,Benin,c,204,1990-1995,184,334,298,220,135,62,18
658,Estimates,Benin,c,204,1995-2000,210,384,340,250,148,62,17
659,Estimates,Benin,c,204,2000-2005,232,438,387,280,159,63,18
660,Estimates,Benin,c,204,2005-2010,248,491,437,306,166,64,18
661,Estimates,Burkina Faso,c,854,1950-1955,218,314,221,157,86,35,7
662,Estimates,Burkina Faso,c,854,1955-1960,225,322,233,170,102,44,10
663,Estimates,Burkina Faso,c,854,1960-1965,229,336,248,182,118,55,12
664,Estimates,Burkina Faso,c,854,1965-1970,239,352,274,201,136,66,15
665,Estimates,Burkina Faso,c,854,1970-1975,255,370,297,225,156,78,18
666,Estimates,Burkina Faso,c,854,1975-1980,281,415,333,256,185,93,22
667,Estimates,Burkina Faso,c,854,1980-1985,305,465,380,288,208,109,27
668,Estimates,Burkina Faso,c,854,1985-1990,326,517,431,327,224,119,33
669,Estimates,Burkina Faso,c,854,1990-1995,367,583,493,371,247,129,38
670,Estimates,Burkina Faso,c,854,1995-2000,424,679,559,420,272,138,40
671,Estimates,Burkina Faso,c,854,2000-2005,467,791,645,473,300,141,37
672,Estimates,Burkina Faso,c,854,2005-2010,504,881,747,535,334,139,33
673,Estimates,Cape Verde,c,132,1950-1955,6,12,10,7,7,4,1
674,Estimates,Cape Verde,c,132,1955-1960,5,12,12,9,6,4,1
675,Estimates,Cape Verde,c,132,1960-1965,4,11,13,11,8,3,1
676,Estimates,Cape Verde,c,132,1965-1970,7,9,12,12,9,4,0
677,Estimates,Cape Verde,c,132,1970-1975,11,14,10,10,10,5,1
678,Estimates,Cape Verde,c,132,1975-1980,12,19,12,8,8,5,1
679,Estimates,Cape Verde,c,132,1980-1985,11,20,17,9,5,3,0
680,Estimates,Cape Verde,c,132,1985-1990,10,21,19,12,6,2,0
681,Estimates,Cape Verde,c,132,1990-1995,11,18,17,13,8,2,0
682,Estimates,Cape Verde,c,132,1995-2000,12,18,14,11,7,3,0
683,Estimates,Cape Verde,c,132,2000-2005,13,18,13,8,6,3,0
684,Estimates,Cape Verde,c,132,2005-2010,12,16,12,6,4,2,1
697,Estimates,Gambia,c,270,1950-1955,15,18,14,8,5,2,1
698,Estimates,Gambia,c,270,1955-1960,18,24,20,10,5,3,1
699,Estimates,Gambia,c,270,1960-1965,20,28,25,13,6,3,1
700,Estimates,Gambia,c,270,1965-1970,21,32,27,15,7,3,1
701,Estimates,Gambia,c,270,1970-1975,25,37,31,18,8,4,1
702,Estimates,Gambia,c,270,1975-1980,28,44,37,21,10,5,1
703,Estimates,Gambia,c,270,1980-1985,33,47,44,25,12,5,1
704,Estimates,Gambia,c,270,1985-1990,38,55,51,34,14,5,1
705,Estimates,Gambia,c,270,1990-1995,39,64,61,41,19,6,2
706,Estimates,Gambia,c,270,1995-2000,43,72,67,47,23,8,3
707,Estimates,Gambia,c,270,2000-2005,43,85,77,52,29,10,4
708,Estimates,Gambia,c,270,2005-2010,46,91,88,61,36,12,5
709,Estimates,Ghana,c,288,1950-1955,203,287,261,207,143,67,23
710,Estimates,Ghana,c,288,1955-1960,236,349,313,246,169,80,28
711,Estimates,Ghana,c,288,1960-1965,276,426,376,291,198,96,34
712,Estimates,Ghana,c,288,1965-1970,295,500,432,328,221,111,39
713,Estimates,Ghana,c,288,1970-1975,316,534,486,363,241,128,43
714,Estimates,Ghana,c,288,1975-1980,355,563,503,399,261,144,46
715,Estimates,Ghana,c,288,1980-1985,397,638,539,420,288,156,46
716,Estimates,Ghana,c,288,1985-1990,431,717,627,454,302,167,46
717,Estimates,Ghana,c,288,1990-1995,437,770,710,516,316,164,46
718,Estimates,Ghana,c,288,1995-2000,416,801,775,573,351,162,43
719,Estimates,Ghana,c,288,2000-2005,415,885,882,654,398,174,42
720,Estimates,Ghana,c,288,2005-2010,411,967,1012,743,432,177,37
721,Estimates,Guinea,c,324,1950-1955,173,202,166,115,68,23,7
722,Estimates,Guinea,c,324,1955-1960,174,209,174,125,78,31,10
723,Estimates,Guinea,c,324,1960-1965,173,215,183,135,88,40,14
724,Estimates,Guinea,c,324,1965-1970,187,219,191,145,97,50,17
725,Estimates,Guinea,c,324,1970-1975,202,241,197,153,106,58,20
726,Estimates,Guinea,c,324,1975-1980,201,264,218,157,111,63,22
727,Estimates,Guinea,c,324,1980-1985,211,281,252,183,118,67,22
728,Estimates,Guinea,c,324,1985-1990,244,318,286,223,140,70,23
729,Estimates,Guinea,c,324,1990-1995,309,390,339,262,171,80,23
730,Estimates,Guinea,c,324,1995-2000,367,457,384,290,183,86,24
731,Estimates,Guinea,c,324,2000-2005,392,488,411,301,183,83,23
732,Estimates,Guinea,c,324,2005-2010,416,516,447,326,191,82,24
733,Estimates,Guinea-Bissau,c,624,1950-1955,17,42,40,27,17,8,1
734,Estimates,Guinea-Bissau,c,624,1955-1960,15,34,32,22,14,6,1
735,Estimates,Guinea-Bissau,c,624,1960-1965,16,37,33,22,14,7,1
736,Estimates,Guinea-Bissau,c,624,1965-1970,17,33,29,18,11,5,1
737,Estimates,Guinea-Bissau,c,624,1970-1975,27,64,49,31,18,8,2
738,Estimates,Guinea-Bissau,c,624,1975-1980,20,55,53,29,16,7,1
739,Estimates,Guinea-Bissau,c,624,1980-1985,22,53,60,41,19,9,2
740,Estimates,Guinea-Bissau,c,624,1985-1990,32,49,53,45,26,11,2
741,Estimates,Guinea-Bissau,c,624,1990-1995,42,63,48,40,28,16,3
742,Estimates,Guinea-Bissau,c,624,1995-2000,43,72,59,37,25,16,4
743,Estimates,Guinea-Bissau,c,624,2000-2005,47,71,70,47,23,13,4
744,Estimates,Guinea-Bissau,c,624,2005-2010,50,76,70,57,30,10,3
745,Estimates,Liberia,c,430,1950-1955,55,55,51,36,22,7,2
746,Estimates,Liberia,c,430,1955-1960,62,62,57,42,26,8,2
747,Estimates,Liberia,c,430,1960-1965,67,70,65,47,31,9,3
748,Estimates,Liberia,c,430,1965-1970,73,77,73,53,35,12,4
749,Estimates,Liberia,c,430,1970-1975,83,89,79,60,40,17,6
750,Estimates,Liberia,c,430,1975-1980,92,108,89,65,45,24,9
751,Estimates,Liberia,c,430,1980-1985,102,127,105,72,49,28,12
752,Estimates,Liberia,c,430,1985-1990,101,130,106,75,49,27,12
753,Estimates,Liberia,c,430,1990-1995,89,121,97,70,48,25,11
754,Estimates,Liberia,c,430,1995-2000,102,145,114,83,57,29,11
755,Estimates,Liberia,c,430,2000-2005,120,175,138,100,65,31,11
756,Estimates,Liberia,c,430,2005-2010,130,190,154,114,70,32,9
757,Estimates,Mali,c,466,1950-1955,210,285,231,201,141,63,19
758,Estimates,Mali,c,466,1955-1960,236,303,239,204,146,68,22
759,Estimates,Mali,c,466,1960-1965,252,331,253,208,149,73,23
760,Estimates,Mali,c,466,1965-1970,259,351,284,218,156,78,23
761,Estimates,Mali,c,466,1970-1975,276,362,312,241,165,84,22
762,Estimates,Mali,c,466,1975-1980,302,392,332,262,185,90,22
763,Estimates,Mali,c,466,1980-1985,338,431,361,273,199,100,22
764,Estimates,Mali,c,466,1985-1990,384,476,383,283,196,101,23
765,Estimates,Mali,c,466,1990-1995,438,540,423,300,198,97,23
766,Estimates,Mali,c,466,1995-2000,495,630,501,345,214,99,24
767,Estimates,Mali,c,466,2000-2005,547,722,600,422,250,107,28
768,Estimates,Mali,c,466,2005-2010,604,810,707,520,309,125,37
769,Estimates,Mauritania,c,478,1950-1955,32,44,38,29,18,8,3
770,Estimates,Mauritania,c,478,1955-1960,33,50,45,35,22,10,4
771,Estimates,Mauritania,c,478,1960-1965,34,56,52,40,26,13,4
772,Estimates,Mauritania,c,478,1965-1970,34,61,59,46,30,15,5
773,Estimates,Mauritania,c,478,1970-1975,38,68,66,52,35,17,6
774,Estimates,Mauritania,c,478,1975-1980,43,77,73,57,40,19,6
775,Estimates,Mauritania,c,478,1980-1985,49,85,82,62,43,21,7
776,Estimates,Mauritania,c,478,1985-1990,56,93,93,70,47,24,8
777,Estimates,Mauritania,c,478,1990-1995,63,103,103,81,52,26,9
778,Estimates,Mauritania,c,478,1995-2000,68,113,116,92,60,29,10
779,Estimates,Mauritania,c,478,2000-2005,71,124,133,108,69,33,10
780,Estimates,Mauritania,c,478,2005-2010,72,134,150,127,80,36,9
781,Estimates,Niger,c,562,1950-1955,147,224,160,112,67,27,10
782,Estimates,Niger,c,562,1955-1960,178,254,182,128,79,34,12
783,Estimates,Niger,c,562,1960-1965,210,293,213,149,92,41,14
784,Estimates,Niger,c,562,1965-1970,227,328,255,180,111,50,16
785,Estimates,Niger,c,562,1970-1975,255,339,296,220,136,61,18
786,Estimates,Niger,c,562,1975-1980,308,365,312,255,166,75,20
787,Estimates,Niger,c,562,1980-1985,369,437,346,270,193,92,24
788,Estimates,Niger,c,562,1985-1990,426,518,417,295,201,104,30
789,Estimates,Niger,c,562,1990-1995,492,607,500,357,222,108,36
790,Estimates,Niger,c,562,1995-2000,572,708,589,430,268,116,40
791,Estimates,Niger,c,562,2000-2005,650,825,679,501,318,133,45
792,Estimates,Niger,c,562,2005-2010,753,968,790,580,371,148,55
793,Estimates,Nigeria,c,566,1950-1955,1623,2295,1968,1567,977,487,188
794,Estimates,Nigeria,c,566,1955-1960,1798,2527,2140,1703,1077,538,205
795,Estimates,Nigeria,c,566,1960-1965,1973,2809,2368,1861,1177,596,228
796,Estimates,Nigeria,c,566,1965-1970,2134,3123,2657,2039,1283,663,256
797,Estimates,Nigeria,c,566,1970-1975,2484,3573,3080,2307,1466,775,318
798,Estimates,Nigeria,c,566,1975-1980,2915,4115,3537,2630,1679,893,392
799,Estimates,Nigeria,c,566,1980-1985,3205,4656,4039,2979,1905,1001,426
800,Estimates,Nigeria,c,566,1985-1990,3476,5117,4537,3356,2103,1074,428
801,Estimates,Nigeria,c,566,1990-1995,3812,5637,5068,3850,2318,1152,395
802,Estimates,Nigeria,c,566,1995-2000,4206,6359,5831,4350,2555,1230,388
803,Estimates,Nigeria,c,566,2000-2005,4473,7066,6787,5003,2874,1365,462
804,Estimates,Nigeria,c,566,2005-2010,4707,7826,7710,5770,3366,1512,651
805,Estimates,Senegal,c,686,1950-1955,126,168,152,110,67,24,9
806,Estimates,Senegal,c,686,1955-1960,142,190,170,127,81,32,10
807,Estimates,Senegal,c,686,1960-1965,157,213,189,146,98,44,12
808,Estimates,Senegal,c,686,1965-1970,180,238,213,167,117,57,14
809,Estimates,Senegal,c,686,1970-1975,212,280,242,192,136,71,17
810,Estimates,Senegal,c,686,1975-1980,236,325,275,208,151,80,20
811,Estimates,Senegal,c,686,1980-1985,252,357,308,228,160,86,22
812,Estimates,Senegal,c,686,1985-1990,268,396,345,263,176,89,23
813,Estimates,Senegal,c,686,1990-1995,281,443,389,296,196,93,22
814,Estimates,Senegal,c,686,1995-2000,292,493,444,329,207,95,20
815,Estimates,Senegal,c,686,2000-2005,311,548,517,381,223,93,19
816,Estimates,Senegal,c,686,2005-2010,330,607,590,452,255,94,19
817,Estimates,Sierra Leone,c,694,1950-1955,84,101,93,74,53,27,7
818,Estimates,Sierra Leone,c,694,1955-1960,92,110,100,80,57,29,8
819,Estimates,Sierra Leone,c,694,1960-1965,103,123,111,88,63,33,9
820,Estimates,Sierra Leone,c,694,1965-1970,114,141,126,99,71,37,10
821,Estimates,Sierra Leone,c,694,1970-1975,121,154,143,112,79,40,11
822,Estimates,Sierra Leone,c,694,1975-1980,131,172,157,126,89,45,13
823,Estimates,Sierra Leone,c,694,1980-1985,140,194,170,136,99,50,14
824,Estimates,Sierra Leone,c,694,1985-1990,148,215,185,144,104,53,14
825,Estimates,Sierra Leone,c,694,1990-1995,145,221,194,147,100,52,14
826,Estimates,Sierra Leone,c,694,1995-2000,146,227,204,151,96,47,13
827,Estimates,Sierra Leone,c,694,2000-2005,162,260,237,174,106,47,12
828,Estimates,Sierra Leone,c,694,2005-2010,171,280,262,195,116,45,12
829,Estimates,Togo,c,768,1950-1955,58,102,79,56,31,13,2
830,Estimates,Togo,c,768,1955-1960,59,104,82,61,35,17,3
831,Estimates,Togo,c,768,1960-1965,62,109,88,66,41,21,5
832,Estimates,Togo,c,768,1965-1970,70,121,102,78,51,28,10
833,Estimates,Togo,c,768,1970-1975,82,137,119,92,64,38,15
834,Estimates,Togo,c,768,1975-1980,93,149,132,102,74,44,18
835,Estimates,Togo,c,768,1980-1985,106,171,150,113,83,46,19
836,Estimates,Togo,c,768,1985-1990,118,200,174,127,92,45,18
837,Estimates,Togo,c,768,1990-1995,122,222,195,139,95,44,16
838,Estimates,Togo,c,768,1995-2000,125,246,223,152,98,42,14
839,Estimates,Togo,c,768,2000-2005,134,278,261,172,106,43,12
840,Estimates,Togo,c,768,2005-2010,147,309,300,194,117,46,11
841,Estimates,ASIA,,935,1950-1955,34965,80983,77936,57069,37313,16581,3123
842,Estimates,ASIA,,935,1955-1960,33291,84476,83538,60554,37744,16525,3100
843,Estimates,ASIA,,935,1960-1965,34825,92202,94221,70056,43675,17303,3034
844,Estimates,ASIA,,935,1965-1970,38852,101143,99932,74026,44762,18381,3183
845,Estimates,ASIA,,935,1970-1975,40156,115261,103814,68034,40497,16372,3224
846,Estimates,ASIA,,935,1975-1980,41447,121157,105814,58744,30233,12509,2840
847,Estimates,ASIA,,935,1980-1985,46209,140219,120047,56303,25227,9967,2308
848,Estimates,ASIA,,935,1985-1990,49699,165128,124760,61823,26432,8933,2106
849,Estimates,ASIA,,935,1990-1995,43914,148735,124313,58780,24750,8336,1649
850,Estimates,ASIA,,935,1995-2000,41148,132310,113523,57054,23879,7953,1783
851,Estimates,ASIA,,935,2000-2005,38237,131230,108184,58263,24177,7372,1664
852,Estimates,ASIA,,935,2005-2010,32156,139076,112334,57402,24076,7414,1694
853,Estimates,Eastern Asia,,906,1950-1955,12258,35686,34740,26563,18947,8755,1193
854,Estimates,Eastern Asia,,906,1955-1960,9484,34691,35160,26305,17650,8065,961
855,Estimates,Eastern Asia,,906,1960-1965,9698,38999,42353,31899,20990,8076,802
856,Estimates,Eastern Asia,,906,1965-1970,9518,44381,45708,33071,20298,8281,824
857,Estimates,Eastern Asia,,906,1970-1975,6656,49435,48125,27504,15933,6256,720
858,Estimates,Eastern Asia,,906,1975-1980,4054,43933,43923,19167,7079,2891,497
859,Estimates,Eastern Asia,,906,1980-1985,5901,54471,50491,14597,3588,1172,144
860,Estimates,Eastern Asia,,906,1985-1990,7705,73779,51610,17887,4829,1007,180
861,Estimates,Eastern Asia,,906,1990-1995,1714,55724,51092,15227,3024,875,149
862,Estimates,Eastern Asia,,906,1995-2000,1674,39332,40476,14147,2800,646,153
863,Estimates,Eastern Asia,,906,2000-2005,2366,35773,33223,16128,3953,632,178
864,Estimates,Eastern Asia,,906,2005-2010,2560,42243,33091,14908,4628,1137,206
865,Estimates,China,c,156,1950-1955,11753,31235,28886,22794,16942,8046,1117
866,Estimates,China,c,156,1955-1960,8992,30011,28534,22448,15750,7384,877
867,Estimates,China,c,156,1960-1965,9233,34378,35078,28139,19377,7497,752
868,Estimates,China,c,156,1965-1970,9079,39542,37674,29119,18863,7824,772
869,Estimates,China,c,156,1970-1975,6203,44143,39188,23539,14641,5875,675
870,Estimates,China,c,156,1975-1980,3600,39274,35995,16096,6310,2695,463
871,Estimates,China,c,156,1980-1985,5502,50104,42794,11649,2947,1042,122
872,Estimates,China,c,156,1985-1990,7417,70400,44436,14955,4184,919,171
873,Estimates,China,c,156,1990-1995,1463,52971,44196,11855,2246,783,145
874,Estimates,China,c,156,1995-2000,1457,37192,34286,10522,1858,527,150
875,Estimates,China,c,156,2000-2005,2173,34145,28361,12254,2840,478,175
876,Estimates,China,c,156,2005-2010,2418,40879,29060,10808,3094,924,197
877,Estimates,"China, Hong Kong SAR",c,344,1950-1955,15,104,152,99,51,15,1
878,Estimates,"China, Hong Kong SAR",c,344,1955-1960,13,101,173,124,66,20,1
879,Estimates,"China, Hong Kong SAR",c,344,1960-1965,23,103,193,158,89,28,1
880,Estimates,"China, Hong Kong SAR",c,344,1965-1970,25,100,117,100,64,22,1
881,Estimates,"China, Hong Kong SAR",c,344,1970-1975,21,125,152,70,41,14,2
882,Estimates,"China, Hong Kong SAR",c,344,1975-1980,20,120,166,73,21,6,1
883,Estimates,"China, Hong Kong SAR",c,344,1980-1985,13,106,176,85,21,3,1
884,Estimates,"China, Hong Kong SAR",c,344,1985-1990,6,54,161,112,29,4,0
885,Estimates,"China, Hong Kong SAR",c,344,1990-1995,7,52,127,124,41,5,0
886,Estimates,"China, Hong Kong SAR",c,344,1995-2000,5,30,80,96,44,6,0
887,Estimates,"China, Hong Kong SAR",c,344,2000-2005,4,32,78,109,58,9,0
888,Estimates,"China, Hong Kong SAR",c,344,2005-2010,3,29,79,121,67,11,1
889,Estimates,"China, Macao SAR",c,446,1950-1955,1,6,11,8,5,1,0
890,Estimates,"China, Macao SAR",c,446,1955-1960,0,5,10,9,5,1,0
891,Estimates,"China, Macao SAR",c,446,1960-1965,0,3,5,8,5,2,0
892,Estimates,"China, Macao SAR",c,446,1965-1970,0,3,3,3,4,2,0
893,Estimates,"China, Macao SAR",c,446,1970-1975,1,3,4,2,2,1,0
894,Estimates,"China, Macao SAR",c,446,1975-1980,1,4,5,2,1,0,0
895,Estimates,"China, Macao SAR",c,446,1980-1985,1,8,13,4,1,0,0
896,Estimates,"China, Macao SAR",c,446,1985-1990,0,6,16,11,2,0,0
897,Estimates,"China, Macao SAR",c,446,1990-1995,0,4,12,10,3,0,0
898,Estimates,"China, Macao SAR",c,446,1995-2000,0,3,8,9,3,1,0
899,Estimates,"China, Macao SAR",c,446,2000-2005,0,2,6,6,3,0,0
900,Estimates,"China, Macao SAR",c,446,2005-2010,0,4,8,6,4,1,0
901,Estimates,Dem. Peoples Republic of Korea,c,408,1950-1955,22,264,464,289,163,92,10
902,Estimates,Dem. Peoples Republic of Korea,c,408,1955-1960,35,448,765,482,275,144,13
903,Estimates,Dem. Peoples Republic of Korea,c,408,1960-1965,23,382,756,427,230,122,10
904,Estimates,Dem. Peoples Republic of Korea,c,408,1965-1970,17,431,1139,614,262,124,12
905,Estimates,Dem. Peoples Republic of Korea,c,408,1970-1975,14,351,1139,638,245,107,11
906,Estimates,Dem. Peoples Republic of Korea,c,408,1975-1980,19,339,738,374,127,49,7
907,Estimates,Dem. Peoples Republic of Korea,c,408,1980-1985,26,548,1018,261,80,31,8
908,Estimates,Dem. Peoples Republic of Korea,c,408,1985-1990,18,495,1219,229,34,10,5
909,Estimates,Dem. Peoples Republic of Korea,c,408,1990-1995,8,384,1351,371,54,9,3
910,Estimates,Dem. Peoples Republic of Korea,c,408,1995-2000,5,282,1326,434,67,10,2
911,Estimates,Dem. Peoples Republic of Korea,c,408,2000-2005,4,245,1041,560,83,13,2
912,Estimates,Dem. Peoples Republic of Korea,c,408,2005-2010,3,267,869,513,103,15,1
913,Estimates,Japan,c,392,1950-1955,195,2676,3675,2235,1057,294,15
914,Estimates,Japan,c,392,1955-1960,102,2213,3490,1672,566,122,7
915,Estimates,Japan,c,392,1960-1965,94,2208,3861,1561,355,62,0
916,Estimates,Japan,c,392,1965-1970,94,2481,4264,1702,370,52,0
917,Estimates,Japan,c,392,1970-1975,101,2699,5084,1861,392,54,0
918,Estimates,Japan,c,392,1975-1980,75,1937,4524,1720,306,41,0
919,Estimates,Japan,c,392,1980-1985,88,1406,3795,1863,365,43,0
920,Estimates,Japan,c,392,1985-1990,92,1139,3196,1868,450,49,0
921,Estimates,Japan,c,392,1990-1995,90,982,2676,1824,475,54,0
922,Estimates,Japan,c,392,1995-2000,86,877,2419,1915,552,67,0
923,Estimates,Japan,c,392,2000-2005,99,740,2053,1990,677,86,0
924,Estimates,Japan,c,392,2005-2010,79,644,1688,2042,938,130,4
925,Estimates,Mongolia,c,496,1950-1955,11,25,41,40,29,13,4
926,Estimates,Mongolia,c,496,1955-1960,14,31,50,46,35,14,5
927,Estimates,Mongolia,c,496,1960-1965,17,39,65,59,44,19,5
928,Estimates,Mongolia,c,496,1965-1970,21,41,69,65,47,19,6
929,Estimates,Mongolia,c,496,1970-1975,27,50,73,69,52,21,6
930,Estimates,Mongolia,c,496,1975-1980,25,77,86,58,41,20,6
931,Estimates,Mongolia,c,496,1980-1985,20,110,106,55,31,17,5
932,Estimates,Mongolia,c,496,1985-1990,20,127,123,61,28,11,4
933,Estimates,Mongolia,c,496,1990-1995,24,115,94,47,21,6,1
934,Estimates,Mongolia,c,496,1995-2000,20,92,75,39,17,5,1
935,Estimates,Mongolia,c,496,2000-2005,16,80,71,42,19,5,1
936,Estimates,Mongolia,c,496,2005-2010,14,96,90,56,28,7,1
937,Estimates,Republic of Korea,c,410,1950-1955,156,931,1048,758,487,203,28
938,Estimates,Republic of Korea,c,410,1955-1960,210,1351,1539,1113,709,283,41
939,Estimates,Republic of Korea,c,410,1960-1965,178,1304,1727,1144,688,269,23
940,Estimates,Republic of Korea,c,410,1965-1970,137,1145,1760,1115,545,191,27
941,Estimates,Republic of Korea,c,410,1970-1975,122,1326,1851,1068,471,158,23
942,Estimates,Republic of Korea,c,410,1975-1980,150,1354,1696,656,225,67,18
943,Estimates,Republic of Korea,c,410,1980-1985,127,1439,1797,467,109,29,7
944,Estimates,Republic of Korea,c,410,1985-1990,70,1009,1707,381,57,9,1
945,Estimates,Republic of Korea,c,410,1990-1995,42,792,1910,645,110,12,0
946,Estimates,Republic of Korea,c,410,1995-2000,27,491,1649,730,157,21,0
947,Estimates,Republic of Korea,c,410,2000-2005,18,243,1106,812,171,28,0
948,Estimates,Republic of Korea,c,410,2005-2010,16,152,885,960,258,30,2
949,Estimates,Other non-specified areas,c,158,1950-1955,106,444,463,341,214,92,18
950,Estimates,Other non-specified areas,c,158,1955-1960,118,532,598,411,243,97,16
951,Estimates,Other non-specified areas,c,158,1960-1965,129,582,667,403,202,77,10
952,Estimates,Other non-specified areas,c,158,1965-1970,146,638,681,354,143,47,6
953,Estimates,Other non-specified areas,c,158,1970-1975,167,738,633,258,89,25,4
954,Estimates,Other non-specified areas,c,158,1975-1980,164,828,713,188,47,12,3
955,Estimates,Other non-specified areas,c,158,1980-1985,126,749,792,213,34,7,1
956,Estimates,Other non-specified areas,c,158,1985-1990,82,550,753,270,45,5,0
957,Estimates,Other non-specified areas,c,158,1990-1995,79,423,726,352,74,7,0
958,Estimates,Other non-specified areas,c,158,1995-2000,73,364,633,402,101,11,0
959,Estimates,Other non-specified areas,c,158,2000-2005,51,286,506,356,103,14,0
960,Estimates,Other non-specified areas,c,158,2005-2010,26,173,412,403,135,19,0
961,Estimates,South-Central Asia,,921,1950-1955,16711,30744,29798,21215,12820,5363,1410
962,Estimates,South-Central Asia,,921,1955-1960,17390,33612,32748,23407,13922,5746,1544
963,Estimates,South-Central Asia,,921,1960-1965,18097,35663,35167,25902,15462,6294,1601
964,Estimates,South-Central Asia,,921,1965-1970,21025,38703,36458,27588,16581,6819,1682
965,Estimates,South-Central Asia,,921,1970-1975,24445,45239,37403,27204,16323,6499,1746
966,Estimates,South-Central Asia,,921,1975-1980,27701,53781,41815,26771,15570,6262,1645
967,Estimates,South-Central Asia,,921,1980-1985,30670,60634,47001,27776,14405,5811,1513
968,Estimates,South-Central Asia,,921,1985-1990,33031,66341,49961,28830,14048,5218,1317
969,Estimates,South-Central Asia,,921,1990-1995,33398,68424,50241,28138,13510,4689,1055
970,Estimates,South-Central Asia,,921,1995-2000,31524,70188,50510,27445,12819,4452,1001
971,Estimates,South-Central Asia,,921,2000-2005,27833,72408,52010,26504,11830,4055,1018
972,Estimates,South-Central Asia,,921,2005-2010,21648,74096,54973,26243,10808,3567,996
973,Estimates,Central Asia,,5500,1950-1955,251,1008,1045,601,503,207,115
974,Estimates,Central Asia,,5500,1955-1960,267,1292,1279,913,524,189,112
975,Estimates,Central Asia,,5500,1960-1965,207,1423,1518,1119,743,193,93
976,Estimates,Central Asia,,5500,1965-1970,263,1303,1394,1194,770,221,73
977,Estimates,Central Asia,,5500,1970-1975,386,1832,1292,1101,759,202,75
978,Estimates,Central Asia,,5500,1975-1980,474,2344,1628,892,545,164,62
979,Estimates,Central Asia,,5500,1980-1985,419,2742,2105,1048,410,117,51
980,Estimates,Central Asia,,5500,1985-1990,503,2942,2468,1278,479,88,38
981,Estimates,Central Asia,,5500,1990-1995,733,2826,2152,1204,446,84,24
982,Estimates,Central Asia,,5500,1995-2000,642,2538,1754,969,390,78,20
983,Estimates,Central Asia,,5500,2000-2005,619,2357,1699,898,373,99,29
984,Estimates,Central Asia,,5500,2005-2010,644,2731,2001,1053,438,121,36
985,Estimates,Kazakhstan,c,398,1950-1955,89,353,368,188,146,66,19
986,Estimates,Kazakhstan,c,398,1955-1960,98,475,433,304,153,67,22
987,Estimates,Kazakhstan,c,398,1960-1965,85,550,520,330,219,73,20
988,Estimates,Kazakhstan,c,398,1965-1970,91,437,457,325,189,80,14
989,Estimates,Kazakhstan,c,398,1970-1975,115,571,387,320,186,64,11
990,Estimates,Kazakhstan,c,398,1975-1980,130,675,453,249,140,48,5
991,Estimates,Kazakhstan,c,398,1980-1985,138,750,559,278,108,36,4
992,Estimates,Kazakhstan,c,398,1985-1990,159,755,616,326,134,26,2
993,Estimates,Kazakhstan,c,398,1990-1995,187,632,449,251,103,21,1
994,Estimates,Kazakhstan,c,398,1995-2000,145,480,324,182,80,16,1
995,Estimates,Kazakhstan,c,398,2000-2005,106,446,353,211,103,22,1
996,Estimates,Kazakhstan,c,398,2005-2010,101,553,502,316,163,38,2
997,Estimates,Kyrgyzstan,c,417,1950-1955,19,86,93,52,39,21,10
998,Estimates,Kyrgyzstan,c,417,1955-1960,18,103,108,79,41,20,9
999,Estimates,Kyrgyzstan,c,417,1960-1965,19,112,123,103,65,23,8
1000,Estimates,Kyrgyzstan,c,417,1965-1970,26,106,104,103,69,30,6
1001,Estimates,Kyrgyzstan,c,417,1970-1975,35,152,92,86,65,30,7
1002,Estimates,Kyrgyzstan,c,417,1975-1980,37,189,117,66,43,23,5
1003,Estimates,Kyrgyzstan,c,417,1980-1985,42,248,173,89,36,16,3
1004,Estimates,Kyrgyzstan,c,417,1985-1990,51,259,206,110,44,11,2
1005,Estimates,Kyrgyzstan,c,417,1990-1995,75,241,178,108,42,10,1
1006,Estimates,Kyrgyzstan,c,417,1995-2000,76,214,149,92,41,9,1
1007,Estimates,Kyrgyzstan,c,417,2000-2005,47,191,142,85,42,12,1
1008,Estimates,Kyrgyzstan,c,417,2005-2010,44,237,174,99,52,16,2
1009,Estimates,Tajikistan,c,762,1950-1955,33,123,108,58,44,23,7
1010,Estimates,Tajikistan,c,762,1955-1960,29,145,137,85,44,20,6
1011,Estimates,Tajikistan,c,762,1960-1965,24,139,157,110,54,19,5
1012,Estimates,Tajikistan,c,762,1965-1970,34,146,161,136,62,24,4
1013,Estimates,Tajikistan,c,762,1970-1975,49,213,164,130,62,23,4
1014,Estimates,Tajikistan,c,762,1975-1980,60,272,200,108,43,17,3
1015,Estimates,Tajikistan,c,762,1980-1985,67,342,266,136,38,10,2
1016,Estimates,Tajikistan,c,762,1985-1990,72,383,339,177,57,8,1
1017,Estimates,Tajikistan,c,762,1990-1995,79,363,319,193,79,12,0
1018,Estimates,Tajikistan,c,762,1995-2000,79,343,266,180,94,20,0
1019,Estimates,Tajikistan,c,762,2000-2005,78,350,247,157,88,26,1
1020,Estimates,Tajikistan,c,762,2005-2010,95,449,300,165,83,28,1
